p0,Average of S(x)
0.0,0.0
0.001,0.00017726215201702643
0.002,0.0003597073716603416
0.003,0.0005284998118093102
0.004,0.0006884187142223764
0.005,0.0008475127860451246
0.006,0.001064465943369042
0.007,0.0012136928339967702
0.008,0.0013447947757913152
0.009000000000000001,0.0015507772253323731
0.01,0.0017179569699731243
0.011,0.0019358062734983299
0.012,0.002048253664601184
0.013000000000000001,0.002244275963430797
0.014,0.002413037391454157
0.015,0.002546143462943007
0.016,0.0028229290994881786
0.017,0.002820723469241054
0.018000000000000002,0.003077581043531885
0.019,0.0032488616621430375
0.02,0.003350358066304608
0.021,0.0037662406007044394
0.022,0.003850016675704078
0.023,0.0038611235875241215
0.024,0.004093043629373322
0.025,0.004339103638530619
0.026000000000000002,0.004483284550962011
0.027,0.00465325534081775
0.028,0.004810753040092818
0.029,0.004973652479988766
0.03,0.005295835557592833
0.031,0.005441132313766765
0.032,0.005502523176742744
0.033,0.005715181692201296
0.034,0.005624654136872186
0.035,0.00607152551960707
0.036000000000000004,0.0061110505969121575
0.037,0.006391565234519438
0.038,0.006362167840526418
0.039,0.006741002615506038
0.04,0.0070432978884788265
0.041,0.007411285227864746
0.042,0.007266761711133987
0.043000000000000003,0.0074344004340657875
0.044,0.007589125261673814
0.045,0.008100759807151017
0.046,0.007864802440342166
0.047,0.008275736493397638
0.048,0.007967448908058616
0.049,0.00855034653686616
0.05,0.008912696755805031
0.051000000000000004,0.008703016732572776
0.052000000000000005,0.008868567463318705
0.053,0.0090702000552227
0.054,0.009342328536957245
0.055,0.009478271049415574
0.056,0.009676376371639353
0.057,0.009819259536230616
0.058,0.010163282982105143
0.059000000000000004,0.010383330404321418
0.06,0.010039827655077653
0.061,0.010393112507054254
0.062,0.010900688366723267
0.063,0.011076781370440006
0.064,0.01080675699932503
0.065,0.01161892076163497
0.066,0.01130698739516517
0.067,0.011455157945405262
0.068,0.011510672510578841
0.069,0.011891353964469794
0.07,0.01183500642484613
0.07100000000000001,0.01182817968071691
0.07200000000000001,0.012614108470168577
0.073,0.012588810025895798
0.074,0.012600822685414253
0.075,0.013206458375211994
0.076,0.01322923177045642
0.077,0.013471698401549367
0.078,0.01282405936186463
0.079,0.013942776254486375
0.08,0.014145273969521739
0.081,0.014010978340816275
0.082,0.014206651479414287
0.083,0.01458668560531724
0.084,0.014339823391741715
0.085,0.015267862307948247
0.08600000000000001,0.015356325017244462
0.08700000000000001,0.014597390344640204
0.088,0.014953342143091686
0.089,0.015385761427513495
0.09,0.01570938356422115
0.091,0.016132096292667535
0.092,0.016121688799102467
0.093,0.01613167078387475
0.094,0.016749040564467934
0.095,0.016450236007268762
0.096,0.016454578874558735
0.097,0.01696989190358866
0.098,0.017228724691480922
0.099,0.017409723128845762
0.1,0.017379512831093038
0.101,0.017508575727737615
0.10200000000000001,0.017614968061562906
0.10300000000000001,0.01744877781148014
0.10400000000000001,0.01788672651413344
0.105,0.01910356216809673
0.106,0.018082335690240512
0.107,0.018715198539162974
0.108,0.01822807419662384
0.109,0.018878404033408402
0.11,0.01939855696642621
0.111,0.01944166967539043
0.112,0.019659555235587173
0.113,0.02019608598323866
0.114,0.020442277338126588
0.115,0.01967232802042559
0.116,0.01993104404165486
0.117,0.01992216946397903
0.11800000000000001,0.019940003062824854
0.11900000000000001,0.020672572924984523
0.12,0.021475817682926127
0.121,0.02094565971060002
0.122,0.021114200912805425
0.123,0.02094434574084757
0.124,0.021077161804969227
0.125,0.0218792769086595
0.126,0.021581057212068728
0.127,0.021484220199103156
0.128,0.02225068764206186
0.129,0.022703206762689658
0.13,0.022344631432311156
0.131,0.022933917329280098
0.132,0.023296461959551977
0.133,0.02224678261445194
0.134,0.02387035457188193
0.135,0.022860650585485264
0.136,0.023474149435516668
0.137,0.022764545556425132
0.138,0.024291101757943207
0.139,0.02340048426977982
0.14,0.024320285991492007
0.14100000000000001,0.02414528376558469
0.14200000000000002,0.023964929352640132
0.14300000000000002,0.02491075593869655
0.14400000000000002,0.0250221456812484
0.145,0.025117903725145392
0.146,0.02560680205475354
0.147,0.02544664294497774
0.148,0.025782565134834817
0.149,0.026270558480239226
0.15,0.026608466418455875
0.151,0.026728784149156547
0.152,0.026078308967137157
0.153,0.025890414227542374
0.154,0.02675673182664258
0.155,0.02685012446694546
0.156,0.026989032497349855
0.157,0.02724132065451143
0.158,0.028294266024171462
0.159,0.027907961466599237
0.16,0.02744771224958638
0.161,0.027850386594283
0.162,0.028422076552717595
0.163,0.029066421560673503
0.164,0.02818355642846049
0.165,0.028191457917399576
0.166,0.027654771684983984
0.167,0.02841392514178548
0.168,0.029331388050310558
0.169,0.028455868604827465
0.17,0.03003348103689815
0.171,0.02972746140997454
0.17200000000000001,0.029865731988327145
0.17300000000000001,0.030043370741226205
0.17400000000000002,0.03055358889033868
0.17500000000000002,0.029663537546638707
0.176,0.03166028133558773
0.177,0.030933483065535148
0.178,0.03179394653593217
0.179,0.03150518767439839
0.18,0.030578236829834772
0.181,0.03134981819449942
0.182,0.03165502522838967
0.183,0.031312342328092
0.184,0.0319670304318099
0.185,0.03188632074242935
0.186,0.032914054003147425
0.187,0.031996002451298446
0.188,0.033525218012066545
0.189,0.033036043473203026
0.19,0.03304492466142875
0.191,0.033637171677455294
0.192,0.03280704739105912
0.193,0.03338071749464457
0.194,0.03346291799052294
0.195,0.03373404296819741
0.196,0.033072730894321924
0.197,0.03393293224524284
0.198,0.034910285506039244
0.199,0.034907362015107864
0.2,0.03494168471309503
0.201,0.034578897660546004
0.202,0.033693012744554884
0.203,0.033929357372627256
0.20400000000000001,0.03295278595390155
0.20500000000000002,0.0351111935251407
0.20600000000000002,0.03666510165618772
0.20700000000000002,0.03478455437533052
0.20800000000000002,0.0358737058768713
0.209,0.03555320590404836
0.21,0.03600448349207544
0.211,0.03664973975040674
0.212,0.03592094872562702
0.213,0.035906975951807765
0.214,0.03752274633205247
0.215,0.03613351573497596
0.216,0.03684596556134535
0.217,0.03815347524583289
0.218,0.037047792188832446
0.219,0.038287505243892996
0.22,0.0383860125912621
0.221,0.03937115502301081
0.222,0.03836932885501109
0.223,0.038942084462884184
0.224,0.039326976205486475
0.225,0.0394916413432964
0.226,0.038728027586835474
0.227,0.03949328837524205
0.228,0.03942247757137348
0.229,0.03904620316416552
0.23,0.03945711782740854
0.231,0.040171240099663365
0.232,0.04036867406500201
0.233,0.04029811154207849
0.234,0.03946511075825601
0.23500000000000001,0.04082389424016607
0.23600000000000002,0.04295270186492683
0.23700000000000002,0.0423560000178223
0.23800000000000002,0.0400415127379223
0.23900000000000002,0.040289149918934446
0.24,0.04206165767444061
0.241,0.04097450418359633
