p0,Average of S(x)
0.0,0.0
0.001,0.0003843029432383438
0.002,0.0007672277103313745
0.003,0.0011512271382225576
0.004,0.0015426203420821967
0.005,0.0019185807714138306
0.006,0.00231186182133847
0.007,0.002674941165935477
0.008,0.0030925207958867585
0.009000000000000001,0.003466226783885417
0.01,0.003839661177196772
0.011,0.004233610665914026
0.012,0.004605308178391195
0.013000000000000001,0.004987136210018235
0.014,0.005389991002462013
0.015,0.0057881898289778334
0.016,0.006139684659587232
0.017,0.006513954916751712
0.018000000000000002,0.006909649022836537
0.019,0.007290968515940437
0.02,0.007708150950630032
0.021,0.008081549439195411
0.022,0.00843749455475336
0.023,0.00883267405175737
0.024,0.009163591551623424
0.025,0.009645764663631907
0.026000000000000002,0.00998606182133124
0.027,0.010364323193821896
0.028,0.010757523511832543
0.029,0.01118736517945441
0.03,0.01153716404176277
0.031,0.01186880376247243
0.032,0.012332160315195366
0.033,0.012655134874418739
0.034,0.013062650813190614
0.035,0.013478139228077864
0.036000000000000004,0.013843008903455694
0.037,0.014197310808738286
0.038,0.014609561972180458
0.039,0.014992598714551782
0.04,0.015340552963568746
0.041,0.015794633617627753
0.042,0.016204041940268355
0.043000000000000003,0.016512559986547562
0.044,0.01699778830227326
0.045,0.017313651793301695
0.046,0.01771450024586636
0.047,0.01802485511724007
0.048,0.018425544376285297
0.049,0.018875416975266658
0.05,0.019234999653551563
0.051000000000000004,0.019582491634374033
0.052000000000000005,0.019856300403294974
0.053,0.020361989839813358
0.054,0.020792162884725705
0.055,0.021034005950989854
0.056,0.021410870920686144
0.057,0.021945332078506255
0.058,0.02225163016998951
0.059000000000000004,0.022692197149076963
0.06,0.023156209395923947
0.061,0.023440760675100213
0.062,0.02374966410619076
0.063,0.024195270110101696
0.064,0.024549082955926557
0.065,0.025030498361910767
0.066,0.02528279570724054
0.067,0.025656313662830343
0.068,0.02621290553614869
0.069,0.026528803201354385
0.07,0.026965292043867026
0.07100000000000001,0.027238185705694216
0.07200000000000001,0.027697775860536667
0.073,0.027892275302452786
0.074,0.028389799647043374
0.075,0.02887611816071012
0.076,0.029170562886767785
0.077,0.029580613568846382
0.078,0.02982986085415853
0.079,0.030350054003345162
0.08,0.03058404842340956
0.081,0.031123397433421827
0.082,0.03163866758110527
0.083,0.03175749159775031
0.084,0.03221312807850063
0.085,0.032231951411654455
0.08600000000000001,0.033040418396544625
0.08700000000000001,0.03344126065604327
0.088,0.03386817683576362
0.089,0.03430212945381809
0.09,0.03471384608595048
0.091,0.03476847121996927
0.092,0.03533071631930366
0.093,0.035644106281896355
0.094,0.03624400080815165
0.095,0.036824489175842766
0.096,0.03695762246005801
0.097,0.037238154895007584
0.098,0.03766784603553616
0.099,0.0380972190547452
0.1,0.038467144268568565
0.101,0.0389579204587425
0.10200000000000001,0.03902049015134262
0.10300000000000001,0.03948711758769576
0.10400000000000001,0.04012831240770594
0.105,0.04048133100917134
0.106,0.040964125499060054
0.107,0.04112224803908193
0.108,0.04143192857800189
0.109,0.04172283662929389
0.11,0.04226519305363277
0.111,0.04259933562715134
0.112,0.04293845949787506
0.113,0.043278391670620905
0.114,0.04365720587376072
0.115,0.04434333674630937
0.116,0.04451502695363484
0.117,0.04475739704530834
0.11800000000000001,0.0453662055253568
0.11900000000000001,0.04582764530477882
0.12,0.045777032285043324
0.121,0.04633997939718741
0.122,0.04686047197794867
0.123,0.047145886578687964
0.124,0.047677698603652806
0.125,0.04805394893965281
0.126,0.0483962163023576
0.127,0.04869530625319462
0.128,0.049302901987475445
0.129,0.04939878523423179
0.13,0.049683478476128605
0.131,0.05008029501041793
0.132,0.05082653985223411
0.133,0.051171835310080974
0.134,0.05124974274957222
0.135,0.052025553044997695
0.136,0.052218862490896585
0.137,0.0525957068030585
0.138,0.053084068976916816
0.139,0.05336717968177575
0.14,0.05398930677819951
0.14100000000000001,0.054274926142081084
0.14200000000000002,0.054620368176624516
0.14300000000000002,0.054913782882921626
0.14400000000000002,0.055343847123266815
0.145,0.05562450155602381
0.146,0.05597233575923685
0.147,0.05638490457557218
0.148,0.05700898475378738
0.149,0.05712210912883363
0.15,0.05761411056716105
0.151,0.05808828341907124
0.152,0.05825101907464318
0.153,0.05868629593440195
0.154,0.059563680560495685
0.155,0.059836343386975785
0.156,0.06019235716692996
0.157,0.06009009548293444
0.158,0.06079329137492856
0.159,0.061305051461048046
0.16,0.061570070150093616
0.161,0.061806436956812955
0.162,0.062241466548583944
0.163,0.06235774482456894
0.164,0.0628389357733501
0.165,0.06350620455883874
0.166,0.06387346920056353
0.167,0.06432807423329924
0.168,0.06431432313628287
0.169,0.06474310953930072
0.17,0.06511935972366252
0.171,0.06580060938133382
0.17200000000000001,0.0660634727870102
0.17300000000000001,0.06644723668254496
0.17400000000000002,0.06678185289044414
0.17500000000000002,0.06745529128092297
0.176,0.06757597819635026
0.177,0.06748750661018671
0.178,0.06834505698008243
0.179,0.06933873085443532
