p0,Average of S(x)
0.0,0.0
0.001,0.0001612451398212931
0.002,0.00032302692974974813
0.003,0.0004822374633021867
0.004,0.0006294815042512182
0.005,0.0008078136364617466
0.006,0.0009656012573076028
0.007,0.0011319228071824076
0.008,0.0013442798047363458
0.009000000000000001,0.0014233966298971257
0.01,0.001634042339453637
0.011,0.001782330323954254
0.012,0.00197613590421554
0.013000000000000001,0.0020377442255935852
0.014,0.002234161157844024
0.015,0.0023828447999122288
0.016,0.002572910889842924
0.017,0.002776312425560059
0.018000000000000002,0.0029251643855799613
0.019,0.003111794659873871
0.02,0.003242084691373857
0.021,0.0033876900717364484
0.022,0.0036104030540656156
0.023,0.003740406183412123
0.024,0.003876954370051627
0.025,0.004006840946168883
0.026000000000000002,0.004251221032609422
0.027,0.00416406376615132
0.028,0.004599593734644267
0.029,0.004884195793861316
0.03,0.005072032606743572
0.031,0.004723723169636036
0.032,0.0051096083644685845
0.033,0.005312596777176978
0.034,0.005460094152036737
0.035,0.005707513802704168
0.036000000000000004,0.005869175612999365
0.037,0.005930782829146522
0.038,0.0060151405639289985
0.039,0.00646331606744605
0.04,0.006268481637814011
0.041,0.006769957449124757
0.042,0.00709227203237037
0.043000000000000003,0.0068051945534887155
0.044,0.00715206510828544
0.045,0.007247667943392584
0.046,0.0075523828335203646
0.047,0.007310924490059021
0.048,0.007856353585581573
0.049,0.0077894578173836205
0.05,0.00822143724284393
0.051000000000000004,0.007879757198089905
0.052000000000000005,0.008323550242550213
0.053,0.008433433791202032
0.054,0.00899375122217245
0.055,0.008951584005463307
0.056,0.009137614810685148
0.057,0.00931437444548949
0.058,0.00926063163339064
0.059000000000000004,0.009683268180988223
0.06,0.009659852740938266
0.061,0.009870333245370195
0.062,0.009845727260226839
0.063,0.009964102240918603
0.064,0.010399217855323382
0.065,0.010765922363040631
0.066,0.010816292607343675
0.067,0.011429803242690061
0.068,0.010841267234035421
0.069,0.011244422285670602
0.07,0.011034500919849076
0.07100000000000001,0.011348130108454531
0.07200000000000001,0.011708930551866545
0.073,0.012313222852786451
0.074,0.011905854504085106
0.075,0.01192442252766129
0.076,0.011919895560035539
0.077,0.012134135176359426
0.078,0.01270659548038786
0.079,0.012761369388887752
0.08,0.01243060738716003
0.081,0.013396416321575722
0.082,0.013646183411676853
0.083,0.013167728258559
0.084,0.013371701927674727
0.085,0.013826633286909615
0.08600000000000001,0.014581936597099075
0.08700000000000001,0.014275473434794846
0.088,0.013787179018190529
0.089,0.014164610178484324
0.09,0.014594642560443656
0.091,0.014377524265666972
0.092,0.014620578346552318
0.093,0.01520783039286978
0.094,0.014879041070338914
0.095,0.015295949119395684
0.096,0.01561051775212872
0.097,0.015199891794016764
0.098,0.015768570164744804
0.099,0.016438415787027462
0.1,0.01629162622837014
0.101,0.015888473199376488
0.10200000000000001,0.01607786927641622
0.10300000000000001,0.016662967033735498
0.10400000000000001,0.01685652221818453
0.105,0.017156791840180947
0.106,0.016678836968796816
0.107,0.017616981684004378
0.108,0.017682191151920594
0.109,0.017025915844207522
0.11,0.017728422275858666
0.111,0.01777055959066721
0.112,0.018349738335034328
0.113,0.017765166959101547
0.114,0.018796501062306403
0.115,0.018107968907238647
0.116,0.019457552051402295
0.117,0.018617580521747047
0.11800000000000001,0.018674477517216615
0.11900000000000001,0.018731285127169026
0.12,0.019429762247778683
0.121,0.018951471515836146
0.122,0.01966984415767483
0.123,0.019409468213027827
0.124,0.020199282596281468
0.125,0.020619831152252233
0.126,0.019870173800462364
0.127,0.0200768124085054
0.128,0.020555915606742085
0.129,0.020497074041852952
0.13,0.02124840167255768
0.131,0.021142792496652383
0.132,0.021328819437969656
0.133,0.021617187277443915
0.134,0.022025878087552624
0.135,0.021810452478804386
0.136,0.0218941983486887
0.137,0.02246974290536311
0.138,0.022952894033531967
0.139,0.022309955125223404
0.14,0.02260271164115137
0.14100000000000001,0.023061934249221098
0.14200000000000002,0.02285266536162417
0.14300000000000002,0.023380414188946826
0.14400000000000002,0.023181463583184844
0.145,0.023403535154060136
0.146,0.02302269966284124
0.147,0.02402027028869075
0.148,0.02406913418901222
0.149,0.02303002022951138
0.15,0.02467050214220795
0.151,0.0246251132269045
0.152,0.024930415272552534
0.153,0.02490142376890952
0.154,0.02329273963697266
0.155,0.025771814626863683
0.156,0.02567518140620543
0.157,0.024657618085764058
0.158,0.025040426323469943
0.159,0.026305677771530377
0.16,0.02537512981972082
0.161,0.027302839236371217
0.162,0.02652663552787155
0.163,0.02644636705254843
0.164,0.026664431560692002
0.165,0.026665502792559352
0.166,0.027312723924144234
0.167,0.02835077183122678
0.168,0.027184030517643596
0.169,0.027191230272341993
0.17,0.02667875104529824
0.171,0.028309373726803165
0.17200000000000001,0.02791508277215469
0.17300000000000001,0.028479585042112517
0.17400000000000002,0.02749495052409471
