p0,Average of S(x)
0.0,0.0
0.001,0.0001578794539540056
0.002,0.0003334238847629421
0.003,0.0004897826891526808
0.004,0.0006453941486026112
0.005,0.000810345254983236
0.006,0.0009268837535631515
0.007,0.0011151570625377938
0.008,0.001262650062511388
0.009000000000000001,0.0014376494742113892
0.01,0.001562656912466637
0.011,0.001735018253233737
0.012,0.0019106576551398337
0.013000000000000001,0.0021211367379890805
0.014,0.0023027397398892903
0.015,0.0024298572133092233
0.016,0.002650248840076021
0.017,0.002723078070119384
0.018000000000000002,0.0028746968559630152
0.019,0.0030272650479682747
0.02,0.0033584243772038407
0.021,0.0033386585883157507
0.022,0.0033807072320890343
0.023,0.0035184670479839384
0.024,0.003869596464914791
0.025,0.003874823354386081
0.026000000000000002,0.004242830944107514
0.027,0.004380971053505689
0.028,0.004536902072450542
0.029,0.004662227676184873
0.03,0.00474467424131155
0.031,0.004925203835517428
0.032,0.004909649471327341
0.033,0.005125485398177918
0.034,0.005196692675385991
0.035,0.005576222323356373
0.036000000000000004,0.005782856621964452
0.037,0.005852551896413254
0.038,0.006072335637158717
0.039,0.006152765650417051
0.04,0.0065510848711069995
0.041,0.006559423881323562
0.042,0.006916413249244962
0.043000000000000003,0.006689727702953934
0.044,0.006795464696723873
0.045,0.007260000322342902
0.046,0.007218173536771424
0.047,0.007339777402503122
0.048,0.007584015844002878
0.049,0.008205449203374423
0.05,0.007866006728525091
0.051000000000000004,0.008316648797518806
0.052000000000000005,0.00806519334102486
0.053,0.008556522839849512
0.054,0.00896345763088363
0.055,0.00892682219202613
0.056,0.008772861475406546
0.057,0.009227667208918789
0.058,0.009140334770438475
0.059000000000000004,0.009040842510985771
0.06,0.009192349306147238
0.061,0.00971383442560231
0.062,0.00954877690195007
0.063,0.010302715489708599
0.064,0.010190375976405486
0.065,0.009876762142838315
0.066,0.010240088778765487
0.067,0.010411082129220517
0.068,0.010893437280904632
0.069,0.011033937495045588
0.07,0.010633900815539674
0.07100000000000001,0.01142176102407134
0.07200000000000001,0.01164173093212616
0.073,0.01199635400965093
0.074,0.01202347428092677
0.075,0.011867900541424213
0.076,0.012281131584675722
0.077,0.01225918404760646
0.078,0.012527321456385207
0.079,0.012890590324924034
0.08,0.012956943148238023
0.081,0.012438317176873034
0.082,0.013006745432345758
0.083,0.013004991551305514
0.084,0.013644916759897026
0.085,0.013725999346956374
0.08600000000000001,0.014119455476008694
0.08700000000000001,0.01338956734998994
0.088,0.01336855614024912
0.089,0.014407159806591517
0.09,0.014547345698195772
0.091,0.014619834121355339
0.092,0.014999501778345262
0.093,0.015170185320414495
0.094,0.01494090802768254
0.095,0.014931758456177823
0.096,0.015604284390342997
0.097,0.01564883039167848
0.098,0.015513442901260803
0.099,0.01596204061038011
0.1,0.016488470302772198
0.101,0.01603205151672414
0.10200000000000001,0.016661990258824935
0.10300000000000001,0.016815655246877167
0.10400000000000001,0.0160462688697781
0.105,0.016360466971907035
0.106,0.017012672903410037
0.107,0.017120959755884
0.108,0.01740577126945732
0.109,0.017156993126975793
0.11,0.01734244898751354
0.111,0.018148500970232774
0.112,0.017322955521798186
0.113,0.01716781471542443
0.114,0.018225089878941943
0.115,0.01821131006964132
0.116,0.01833247308549531
0.117,0.018340362955928526
0.11800000000000001,0.01826236148788656
0.11900000000000001,0.018696737221898616
0.12,0.01870308093129186
0.121,0.019156293624647318
0.122,0.020142714480491052
0.123,0.01935385666763
0.124,0.01864355845553978
0.125,0.02034854409807329
0.126,0.01985817302806633
0.127,0.019583635673662014
0.128,0.020838175749894296
0.129,0.021368917422968123
0.13,0.020851864307114807
0.131,0.020772113465867905
0.132,0.02110530914992085
0.133,0.021876222404347452
0.134,0.021368456535414783
