,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
0,0.0,999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,997.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2.0,997.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,3.0,997.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4.0,997.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
5,5.0,998.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6,6.0,997.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
7,7.0,995.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
8,8.0,987.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0
9,9.0,984.0,11.0,3.0,0.0,0.0,2.0,0.0,0.0
10,10.0,979.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0
11,11.0,970.0,18.0,6.0,1.0,0.0,5.0,0.0,0.0
12,12.0,963.0,19.0,10.0,3.0,0.0,5.0,0.0,0.0
13,13.0,950.0,25.0,16.0,2.0,1.0,6.0,0.0,0.0
14,14.0,943.0,28.0,13.0,2.0,0.0,14.0,0.0,0.0
15,15.0,937.0,28.0,17.0,4.0,0.0,13.0,0.0,1.0
16,16.0,927.0,34.0,16.0,4.0,0.0,16.0,0.0,3.0
17,17.0,914.0,40.0,23.0,3.0,2.0,15.0,0.0,3.0
18,18.0,895.0,48.0,26.0,4.0,1.0,20.0,1.0,5.0
19,19.0,872.0,57.0,34.0,6.0,0.0,24.0,2.0,5.0
20,20.0,851.0,67.0,29.0,8.0,0.0,37.0,2.0,6.0
21,21.0,842.0,63.0,32.0,12.0,2.0,40.0,2.0,7.0
22,22.0,820.0,66.0,39.0,14.0,3.0,48.0,3.0,7.0
23,23.0,797.0,76.0,43.0,16.0,7.0,50.0,3.0,8.0
24,24.0,787.0,65.0,48.0,21.0,5.0,63.0,3.0,8.0
25,25.0,765.0,77.0,50.0,22.0,4.0,68.0,4.0,10.0
26,26.0,711.0,117.0,50.0,18.0,7.0,81.0,5.0,11.0
27,27.0,697.0,117.0,56.0,17.0,9.0,87.0,6.0,11.0
28,28.0,669.0,127.0,58.0,22.0,7.0,99.0,7.0,11.0
29,29.0,641.0,132.0,77.0,19.0,10.0,100.0,9.0,12.0
30,30.0,611.0,148.0,75.0,24.0,8.0,111.0,9.0,14.0
31,31.0,592.0,148.0,92.0,31.0,8.0,104.0,11.0,14.0
32,32.0,558.0,165.0,103.0,26.0,15.0,106.0,13.0,14.0
33,33.0,521.0,173.0,107.0,33.0,9.0,126.0,16.0,15.0
34,34.0,483.0,186.0,114.0,35.0,8.0,139.0,18.0,17.0
35,35.0,458.0,195.0,117.0,37.0,8.0,147.0,20.0,18.0
36,36.0,425.0,178.0,146.0,39.0,11.0,159.0,21.0,21.0
37,37.0,381.0,199.0,152.0,37.0,12.0,174.0,23.0,22.0
38,38.0,350.0,203.0,147.0,39.0,14.0,199.0,25.0,23.0
39,39.0,340.0,187.0,157.0,42.0,9.0,211.0,30.0,24.0
40,40.0,315.0,205.0,129.0,43.0,8.0,241.0,34.0,25.0
41,41.0,292.0,209.0,137.0,51.0,7.0,241.0,38.0,25.0
42,42.0,284.0,205.0,146.0,44.0,15.0,239.0,40.0,27.0
43,43.0,264.0,211.0,137.0,46.0,12.0,260.0,42.0,28.0
44,44.0,256.0,215.0,147.0,42.0,12.0,251.0,49.0,28.0
45,45.0,265.0,186.0,165.0,45.0,11.0,246.0,52.0,30.0
46,46.0,237.0,218.0,151.0,43.0,14.0,250.0,55.0,32.0
47,47.0,226.0,214.0,157.0,40.0,11.0,261.0,58.0,33.0
48,48.0,231.0,210.0,147.0,37.0,18.0,265.0,59.0,33.0
49,49.0,230.0,201.0,142.0,37.0,16.0,279.0,62.0,33.0
50,50.0,245.0,180.0,159.0,38.0,13.0,266.0,65.0,34.0
51,51.0,243.0,179.0,144.0,37.0,14.0,280.0,67.0,36.0
52,52.0,238.0,163.0,162.0,38.0,14.0,282.0,67.0,36.0
53,53.0,230.0,170.0,143.0,35.0,14.0,301.0,70.0,37.0
54,54.0,245.0,170.0,134.0,36.0,6.0,296.0,76.0,37.0
55,55.0,265.0,176.0,135.0,29.0,10.0,268.0,79.0,38.0
56,56.0,280.0,174.0,145.0,29.0,7.0,247.0,80.0,38.0
57,57.0,271.0,176.0,140.0,28.0,5.0,258.0,84.0,38.0
58,58.0,260.0,183.0,136.0,27.0,8.0,262.0,86.0,38.0
59,59.0,257.0,169.0,152.0,24.0,10.0,261.0,89.0,38.0
60,60.0,255.0,169.0,146.0,25.0,8.0,268.0,91.0,38.0
61,61.0,251.0,159.0,162.0,22.0,11.0,262.0,93.0,40.0
62,62.0,242.0,177.0,142.0,22.0,8.0,272.0,96.0,41.0
63,63.0,240.0,176.0,147.0,23.0,5.0,269.0,99.0,41.0
64,64.0,241.0,171.0,142.0,20.0,7.0,278.0,100.0,41.0
65,65.0,255.0,163.0,135.0,21.0,7.0,277.0,101.0,41.0
66,66.0,255.0,155.0,152.0,16.0,10.0,268.0,102.0,42.0
67,67.0,248.0,160.0,146.0,17.0,7.0,275.0,105.0,42.0
68,68.0,252.0,157.0,144.0,17.0,6.0,276.0,105.0,43.0
69,69.0,264.0,168.0,130.0,13.0,7.0,269.0,106.0,43.0
70,70.0,273.0,157.0,144.0,16.0,4.0,256.0,107.0,43.0
71,71.0,270.0,169.0,143.0,16.0,3.0,245.0,110.0,44.0
72,72.0,265.0,186.0,141.0,16.0,2.0,235.0,111.0,44.0
73,73.0,262.0,178.0,155.0,18.0,3.0,227.0,113.0,44.0
74,74.0,243.0,191.0,148.0,16.0,6.0,239.0,113.0,44.0
75,75.0,252.0,176.0,148.0,16.0,4.0,244.0,116.0,44.0
76,76.0,261.0,174.0,139.0,13.0,6.0,247.0,116.0,44.0
77,77.0,254.0,180.0,132.0,14.0,3.0,254.0,118.0,45.0
78,78.0,252.0,172.0,145.0,12.0,5.0,250.0,119.0,45.0
79,79.0,248.0,177.0,145.0,13.0,4.0,249.0,119.0,45.0
80,80.0,248.0,178.0,144.0,14.0,5.0,247.0,119.0,45.0
81,81.0,255.0,170.0,145.0,13.0,5.0,247.0,120.0,45.0
82,82.0,265.0,172.0,140.0,12.0,4.0,236.0,124.0,47.0
83,83.0,262.0,178.0,133.0,11.0,3.0,240.0,126.0,47.0
84,84.0,252.0,180.0,138.0,12.0,4.0,241.0,126.0,47.0
85,85.0,261.0,181.0,126.0,10.0,3.0,245.0,127.0,47.0
86,86.0,270.0,175.0,136.0,10.0,2.0,233.0,127.0,47.0
87,87.0,283.0,167.0,144.0,9.0,3.0,220.0,127.0,47.0
88,88.0,269.0,168.0,148.0,9.0,1.0,228.0,130.0,47.0
89,89.0,247.0,182.0,157.0,11.0,1.0,225.0,130.0,47.0
90,90.0,236.0,169.0,163.0,10.0,1.0,242.0,132.0,47.0
91,91.0,237.0,167.0,160.0,10.0,2.0,245.0,132.0,47.0
92,92.0,223.0,166.0,156.0,8.0,3.0,264.0,133.0,47.0
93,93.0,235.0,160.0,142.0,8.0,0.0,274.0,134.0,47.0
94,94.0,236.0,152.0,160.0,8.0,2.0,261.0,134.0,47.0
95,95.0,229.0,160.0,157.0,8.0,0.0,264.0,135.0,47.0
96,96.0,235.0,163.0,145.0,8.0,1.0,266.0,135.0,47.0
97,97.0,241.0,160.0,134.0,7.0,2.0,274.0,135.0,47.0
98,98.0,268.0,149.0,136.0,6.0,3.0,256.0,135.0,47.0
99,99.0,263.0,150.0,125.0,6.0,4.0,270.0,135.0,47.0
100,100.0,259.0,161.0,117.0,6.0,2.0,272.0,136.0,47.0
101,101.0,265.0,153.0,124.0,5.0,2.0,268.0,136.0,47.0
102,102.0,274.0,152.0,118.0,7.0,2.0,262.0,137.0,48.0
103,103.0,285.0,159.0,114.0,7.0,2.0,247.0,138.0,48.0
104,104.0,294.0,157.0,108.0,5.0,4.0,245.0,138.0,49.0
105,105.0,297.0,147.0,118.0,6.0,2.0,241.0,140.0,49.0
106,106.0,293.0,154.0,126.0,5.0,1.0,231.0,141.0,49.0
107,107.0,286.0,157.0,137.0,6.0,2.0,222.0,141.0,49.0
108,108.0,278.0,168.0,141.0,6.0,2.0,214.0,142.0,49.0
109,109.0,260.0,180.0,131.0,6.0,1.0,230.0,142.0,50.0
110,110.0,253.0,181.0,149.0,7.0,0.0,216.0,143.0,51.0
111,111.0,245.0,178.0,147.0,9.0,2.0,225.0,143.0,51.0
112,112.0,254.0,167.0,145.0,9.0,1.0,229.0,144.0,51.0
113,113.0,263.0,160.0,138.0,7.0,3.0,234.0,144.0,51.0
114,114.0,261.0,151.0,140.0,7.0,1.0,244.0,144.0,52.0
115,115.0,260.0,158.0,137.0,7.0,2.0,240.0,144.0,52.0
116,116.0,261.0,152.0,144.0,7.0,2.0,238.0,144.0,52.0
117,117.0,255.0,168.0,133.0,6.0,2.0,240.0,144.0,52.0
118,118.0,260.0,164.0,142.0,4.0,2.0,231.0,145.0,52.0
119,119.0,258.0,155.0,148.0,3.0,3.0,236.0,145.0,52.0
120,120.0,263.0,155.0,141.0,3.0,2.0,238.0,146.0,52.0
121,121.0,255.0,155.0,140.0,2.0,2.0,246.0,148.0,52.0
122,122.0,253.0,158.0,143.0,3.0,0.0,241.0,150.0,52.0
123,123.0,255.0,151.0,137.0,4.0,0.0,251.0,150.0,52.0
124,124.0,267.0,154.0,129.0,3.0,1.0,244.0,150.0,52.0
125,125.0,272.0,150.0,121.0,3.0,0.0,251.0,151.0,52.0
126,126.0,282.0,139.0,133.0,2.0,1.0,240.0,151.0,52.0
127,127.0,293.0,133.0,120.0,1.0,2.0,247.0,152.0,52.0
128,128.0,272.0,147.0,132.0,3.0,1.0,240.0,153.0,52.0
129,129.0,256.0,165.0,113.0,2.0,1.0,257.0,154.0,52.0
130,130.0,267.0,146.0,124.0,3.0,1.0,253.0,154.0,52.0
131,131.0,277.0,155.0,125.0,2.0,2.0,233.0,154.0,52.0
132,132.0,267.0,164.0,115.0,1.0,3.0,244.0,154.0,52.0
133,133.0,274.0,154.0,123.0,2.0,2.0,238.0,155.0,52.0
134,134.0,276.0,151.0,130.0,2.0,2.0,232.0,155.0,52.0
135,135.0,286.0,154.0,122.0,1.0,2.0,228.0,155.0,52.0
136,136.0,299.0,148.0,124.0,1.0,1.0,218.0,157.0,52.0
137,137.0,298.0,150.0,120.0,2.0,1.0,220.0,157.0,52.0
138,138.0,299.0,140.0,128.0,1.0,1.0,222.0,157.0,52.0
139,139.0,280.0,158.0,126.0,2.0,0.0,224.0,158.0,52.0
140,140.0,284.0,158.0,121.0,3.0,0.0,224.0,158.0,52.0
141,141.0,275.0,159.0,104.0,3.0,1.0,248.0,158.0,52.0
142,142.0,271.0,154.0,109.0,2.0,2.0,252.0,158.0,52.0
143,143.0,285.0,147.0,106.0,1.0,3.0,248.0,158.0,52.0
144,144.0,285.0,151.0,105.0,1.0,1.0,246.0,159.0,52.0
145,145.0,312.0,135.0,112.0,0.0,2.0,227.0,160.0,52.0
146,146.0,312.0,146.0,109.0,0.0,1.0,219.0,161.0,52.0
147,147.0,311.0,153.0,117.0,0.0,1.0,205.0,161.0,52.0
148,148.0,294.0,164.0,125.0,2.0,0.0,202.0,161.0,52.0
149,149.0,278.0,179.0,126.0,2.0,0.0,202.0,161.0,52.0
150,150.0,276.0,175.0,133.0,2.0,0.0,201.0,161.0,52.0
151,151.0,272.0,165.0,139.0,2.0,0.0,208.0,162.0,52.0
152,152.0,273.0,153.0,147.0,2.0,0.0,211.0,162.0,52.0
153,153.0,264.0,150.0,142.0,2.0,0.0,228.0,162.0,52.0
154,154.0,261.0,148.0,140.0,2.0,0.0,235.0,162.0,52.0
155,155.0,264.0,147.0,137.0,2.0,0.0,236.0,162.0,52.0
156,156.0,257.0,142.0,136.0,2.0,0.0,249.0,162.0,52.0
157,157.0,261.0,152.0,133.0,2.0,0.0,238.0,162.0,52.0
158,158.0,263.0,150.0,124.0,2.0,1.0,246.0,162.0,52.0
159,159.0,276.0,140.0,122.0,2.0,1.0,245.0,162.0,52.0
160,160.0,283.0,137.0,128.0,2.0,1.0,235.0,162.0,52.0
161,161.0,277.0,135.0,125.0,2.0,1.0,245.0,163.0,52.0
162,162.0,291.0,139.0,129.0,2.0,0.0,223.0,164.0,52.0
163,163.0,279.0,151.0,120.0,2.0,0.0,232.0,164.0,52.0
164,164.0,282.0,146.0,122.0,3.0,0.0,231.0,164.0,52.0
165,165.0,295.0,154.0,130.0,3.0,0.0,202.0,164.0,52.0
166,166.0,279.0,170.0,124.0,3.0,0.0,208.0,164.0,52.0
167,167.0,277.0,156.0,141.0,3.0,0.0,207.0,164.0,52.0
168,168.0,260.0,173.0,128.0,3.0,0.0,220.0,164.0,52.0
169,169.0,261.0,162.0,142.0,3.0,0.0,216.0,164.0,52.0
170,170.0,261.0,157.0,151.0,3.0,0.0,212.0,164.0,52.0
171,171.0,257.0,163.0,135.0,4.0,0.0,225.0,164.0,52.0
172,172.0,258.0,151.0,148.0,3.0,1.0,223.0,164.0,52.0
173,173.0,247.0,157.0,150.0,2.0,2.0,226.0,164.0,52.0
174,174.0,241.0,162.0,140.0,2.0,0.0,237.0,166.0,52.0
175,175.0,251.0,165.0,135.0,2.0,0.0,229.0,166.0,52.0
176,176.0,252.0,161.0,134.0,2.0,0.0,233.0,166.0,52.0
177,177.0,255.0,157.0,140.0,2.0,0.0,228.0,166.0,52.0
178,178.0,257.0,153.0,136.0,1.0,1.0,234.0,166.0,52.0
179,179.0,263.0,150.0,129.0,1.0,0.0,238.0,167.0,52.0
180,180.0,273.0,135.0,124.0,2.0,0.0,246.0,168.0,52.0
