,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
0,0.0,999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,998.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2.0,995.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3.0,995.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4.0,996.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
5,5.0,996.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
6,6.0,994.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
7,7.0,994.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0
8,8.0,994.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0
9,9.0,993.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0
10,10.0,991.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0
11,11.0,986.0,6.0,3.0,1.0,1.0,3.0,0.0,0.0
12,12.0,980.0,9.0,5.0,2.0,0.0,3.0,1.0,0.0
13,13.0,976.0,12.0,5.0,3.0,0.0,3.0,1.0,0.0
14,14.0,967.0,19.0,7.0,3.0,0.0,3.0,1.0,0.0
15,15.0,955.0,26.0,9.0,3.0,0.0,6.0,1.0,0.0
16,16.0,939.0,32.0,14.0,4.0,2.0,8.0,1.0,0.0
17,17.0,920.0,41.0,21.0,5.0,1.0,11.0,1.0,0.0
18,18.0,882.0,71.0,25.0,6.0,0.0,14.0,2.0,0.0
19,19.0,851.0,80.0,36.0,10.0,2.0,19.0,2.0,0.0
20,20.0,811.0,87.0,53.0,12.0,3.0,31.0,3.0,0.0
21,21.0,772.0,102.0,66.0,14.0,4.0,39.0,3.0,0.0
22,22.0,728.0,131.0,68.0,15.0,4.0,51.0,3.0,0.0
23,23.0,689.0,137.0,91.0,16.0,5.0,58.0,4.0,0.0
24,24.0,655.0,141.0,100.0,21.0,6.0,73.0,4.0,0.0
25,25.0,611.0,168.0,100.0,19.0,9.0,88.0,5.0,0.0
26,26.0,596.0,147.0,94.0,28.0,7.0,121.0,7.0,0.0
27,27.0,571.0,149.0,100.0,34.0,6.0,130.0,10.0,0.0
28,28.0,550.0,157.0,108.0,30.0,9.0,133.0,13.0,0.0
29,29.0,525.0,159.0,116.0,38.0,5.0,141.0,16.0,0.0
30,30.0,480.0,172.0,119.0,39.0,12.0,161.0,17.0,0.0
31,31.0,461.0,166.0,137.0,45.0,11.0,161.0,19.0,0.0
32,32.0,409.0,178.0,132.0,45.0,13.0,202.0,21.0,0.0
33,33.0,378.0,199.0,116.0,41.0,14.0,228.0,24.0,0.0
34,34.0,369.0,200.0,125.0,39.0,11.0,229.0,27.0,0.0
35,35.0,363.0,214.0,120.0,37.0,13.0,225.0,28.0,0.0
36,36.0,358.0,201.0,141.0,39.0,17.0,214.0,30.0,0.0
37,37.0,328.0,208.0,132.0,47.0,16.0,237.0,32.0,0.0
38,38.0,304.0,218.0,136.0,58.0,13.0,237.0,34.0,0.0
39,39.0,282.0,226.0,139.0,51.0,19.0,247.0,36.0,0.0
40,40.0,275.0,221.0,151.0,56.0,10.0,246.0,41.0,0.0
41,41.0,253.0,227.0,159.0,56.0,12.0,247.0,46.0,0.0
42,42.0,243.0,226.0,164.0,54.0,14.0,253.0,46.0,0.0
43,43.0,238.0,224.0,168.0,51.0,15.0,253.0,51.0,0.0
44,44.0,237.0,217.0,169.0,44.0,16.0,263.0,54.0,0.0
45,45.0,236.0,216.0,174.0,41.0,17.0,259.0,57.0,0.0
46,46.0,226.0,202.0,195.0,41.0,12.0,263.0,61.0,0.0
47,47.0,209.0,214.0,183.0,43.0,11.0,274.0,66.0,0.0
48,48.0,201.0,206.0,170.0,40.0,16.0,300.0,67.0,0.0
49,49.0,215.0,188.0,170.0,41.0,13.0,303.0,70.0,0.0
50,50.0,235.0,196.0,141.0,34.0,18.0,302.0,74.0,0.0
51,51.0,254.0,180.0,148.0,28.0,23.0,292.0,75.0,0.0
52,52.0,247.0,169.0,156.0,31.0,19.0,301.0,77.0,0.0
53,53.0,260.0,171.0,145.0,32.0,11.0,298.0,83.0,0.0
54,54.0,276.0,166.0,135.0,31.0,10.0,297.0,85.0,0.0
55,55.0,297.0,169.0,124.0,28.0,10.0,285.0,87.0,0.0
56,56.0,292.0,172.0,134.0,31.0,5.0,278.0,88.0,0.0
57,57.0,285.0,189.0,133.0,32.0,8.0,265.0,88.0,0.0
58,58.0,268.0,194.0,149.0,28.0,11.0,259.0,91.0,0.0
59,59.0,267.0,186.0,141.0,26.0,13.0,272.0,95.0,0.0
60,60.0,257.0,199.0,137.0,22.0,15.0,272.0,98.0,0.0
61,61.0,235.0,203.0,140.0,23.0,12.0,286.0,101.0,0.0
62,62.0,245.0,197.0,152.0,25.0,5.0,271.0,105.0,0.0
63,63.0,257.0,181.0,133.0,25.0,8.0,288.0,108.0,0.0
64,64.0,255.0,187.0,134.0,20.0,14.0,280.0,110.0,0.0
65,65.0,265.0,174.0,137.0,22.0,9.0,279.0,114.0,0.0
66,66.0,270.0,177.0,143.0,22.0,7.0,266.0,115.0,0.0
67,67.0,275.0,181.0,155.0,22.0,4.0,247.0,116.0,0.0
68,68.0,267.0,195.0,134.0,20.0,6.0,262.0,116.0,0.0
69,69.0,271.0,187.0,146.0,22.0,7.0,248.0,119.0,0.0
70,70.0,268.0,187.0,132.0,18.0,8.0,267.0,120.0,0.0
71,71.0,261.0,186.0,143.0,18.0,3.0,269.0,120.0,0.0
72,72.0,247.0,184.0,151.0,20.0,3.0,275.0,120.0,0.0
73,73.0,255.0,185.0,143.0,19.0,3.0,275.0,120.0,0.0
74,74.0,266.0,183.0,137.0,21.0,4.0,269.0,120.0,0.0
75,75.0,271.0,176.0,153.0,22.0,3.0,254.0,121.0,0.0
76,76.0,269.0,180.0,143.0,22.0,7.0,258.0,121.0,0.0
77,77.0,256.0,195.0,143.0,18.0,11.0,254.0,123.0,0.0
78,78.0,264.0,177.0,144.0,16.0,7.0,267.0,125.0,0.0
79,79.0,262.0,159.0,167.0,18.0,5.0,263.0,126.0,0.0
80,80.0,251.0,161.0,156.0,20.0,3.0,280.0,129.0,0.0
81,81.0,258.0,160.0,143.0,22.0,1.0,285.0,131.0,0.0
82,82.0,250.0,168.0,149.0,19.0,4.0,279.0,131.0,0.0
83,83.0,244.0,168.0,146.0,19.0,5.0,286.0,132.0,0.0
84,84.0,239.0,180.0,137.0,21.0,4.0,285.0,134.0,0.0
85,85.0,254.0,170.0,138.0,18.0,7.0,277.0,136.0,0.0
86,86.0,249.0,180.0,134.0,15.0,6.0,279.0,137.0,0.0
87,87.0,250.0,189.0,140.0,15.0,6.0,261.0,139.0,0.0
88,88.0,257.0,181.0,137.0,11.0,9.0,265.0,140.0,0.0
89,89.0,269.0,170.0,153.0,12.0,9.0,245.0,142.0,0.0
90,90.0,276.0,177.0,137.0,16.0,8.0,243.0,143.0,0.0
91,91.0,277.0,179.0,138.0,16.0,6.0,239.0,145.0,0.0
92,92.0,260.0,192.0,132.0,17.0,5.0,248.0,146.0,0.0
93,93.0,255.0,186.0,132.0,16.0,5.0,256.0,150.0,0.0
94,94.0,251.0,185.0,145.0,15.0,5.0,248.0,151.0,0.0
95,95.0,242.0,197.0,148.0,13.0,5.0,244.0,151.0,0.0
96,96.0,234.0,190.0,143.0,12.0,5.0,265.0,151.0,0.0
97,97.0,236.0,191.0,138.0,14.0,2.0,265.0,154.0,0.0
98,98.0,242.0,181.0,145.0,14.0,3.0,261.0,154.0,0.0
99,99.0,243.0,177.0,146.0,10.0,6.0,264.0,154.0,0.0
100,100.0,234.0,191.0,135.0,11.0,4.0,269.0,156.0,0.0
101,101.0,230.0,190.0,146.0,10.0,3.0,265.0,156.0,0.0
102,102.0,246.0,170.0,151.0,13.0,2.0,261.0,157.0,0.0
103,103.0,239.0,169.0,162.0,11.0,5.0,257.0,157.0,0.0
104,104.0,246.0,167.0,155.0,12.0,3.0,259.0,158.0,0.0
105,105.0,252.0,158.0,145.0,12.0,4.0,270.0,159.0,0.0
106,106.0,248.0,175.0,124.0,11.0,4.0,278.0,160.0,0.0
107,107.0,265.0,166.0,130.0,9.0,5.0,264.0,161.0,0.0
108,108.0,275.0,170.0,130.0,9.0,3.0,251.0,162.0,0.0
109,109.0,277.0,171.0,129.0,8.0,2.0,249.0,164.0,0.0
110,110.0,280.0,161.0,138.0,10.0,2.0,244.0,165.0,0.0
111,111.0,289.0,166.0,146.0,12.0,1.0,221.0,165.0,0.0
112,112.0,275.0,162.0,151.0,8.0,4.0,234.0,166.0,0.0
113,113.0,265.0,176.0,146.0,7.0,4.0,236.0,166.0,0.0
114,114.0,265.0,181.0,142.0,7.0,5.0,234.0,166.0,0.0
115,115.0,269.0,173.0,145.0,7.0,3.0,236.0,167.0,0.0
116,116.0,264.0,173.0,138.0,6.0,3.0,249.0,167.0,0.0
117,117.0,279.0,161.0,130.0,8.0,3.0,250.0,169.0,0.0
118,118.0,279.0,167.0,122.0,8.0,3.0,252.0,169.0,0.0
119,119.0,295.0,158.0,115.0,8.0,2.0,252.0,170.0,0.0
120,120.0,297.0,167.0,120.0,8.0,2.0,235.0,171.0,0.0
121,121.0,302.0,181.0,121.0,9.0,1.0,214.0,172.0,0.0
