,Days,Susceptible,Exposed,Infectious,Lag,ICU,Recovered,Dead,Vaccinated
0,0.0,999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2.0,998.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,999.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,8.0,996.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9.0,996.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
10,10.0,995.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
11,11.0,994.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
12,12.0,990.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0
13,13.0,986.0,8.0,2.0,1.0,0.0,3.0,0.0,0.0
14,14.0,985.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0
15,15.0,982.0,11.0,3.0,2.0,0.0,2.0,0.0,0.0
16,16.0,974.0,14.0,6.0,4.0,0.0,2.0,0.0,0.0
17,17.0,962.0,23.0,6.0,3.0,1.0,5.0,0.0,0.0
18,18.0,961.0,17.0,8.0,5.0,0.0,9.0,0.0,0.0
19,19.0,953.0,18.0,13.0,4.0,1.0,11.0,0.0,0.0
20,20.0,930.0,35.0,13.0,6.0,1.0,15.0,0.0,0.0
21,21.0,920.0,39.0,14.0,9.0,0.0,18.0,0.0,0.0
22,22.0,897.0,63.0,10.0,7.0,2.0,20.0,0.0,1.0
23,23.0,887.0,62.0,19.0,12.0,2.0,14.0,1.0,3.0
24,24.0,862.0,66.0,33.0,12.0,3.0,18.0,3.0,3.0
25,25.0,821.0,85.0,33.0,18.0,3.0,33.0,3.0,4.0
26,26.0,788.0,96.0,38.0,19.0,7.0,43.0,4.0,5.0
27,27.0,751.0,104.0,61.0,19.0,8.0,43.0,7.0,7.0
28,28.0,695.0,136.0,70.0,21.0,2.0,57.0,11.0,8.0
29,29.0,631.0,169.0,83.0,25.0,3.0,70.0,11.0,8.0
30,30.0,594.0,169.0,96.0,23.0,7.0,91.0,12.0,8.0
31,31.0,547.0,177.0,109.0,31.0,5.0,108.0,13.0,10.0
32,32.0,492.0,201.0,115.0,36.0,2.0,126.0,15.0,13.0
33,33.0,462.0,203.0,122.0,37.0,10.0,135.0,15.0,16.0
34,34.0,433.0,206.0,129.0,41.0,10.0,147.0,15.0,19.0
35,35.0,381.0,226.0,129.0,41.0,10.0,176.0,16.0,21.0
36,36.0,338.0,229.0,137.0,43.0,12.0,198.0,19.0,24.0
37,37.0,325.0,216.0,161.0,45.0,14.0,193.0,21.0,25.0
38,38.0,273.0,242.0,175.0,47.0,10.0,203.0,23.0,27.0
39,39.0,250.0,223.0,171.0,44.0,13.0,248.0,23.0,28.0
40,40.0,234.0,231.0,161.0,45.0,15.0,261.0,25.0,28.0
41,41.0,226.0,216.0,155.0,49.0,15.0,283.0,27.0,29.0
42,42.0,233.0,196.0,173.0,45.0,16.0,276.0,30.0,31.0
43,43.0,215.0,199.0,166.0,44.0,17.0,289.0,35.0,35.0
44,44.0,229.0,198.0,161.0,44.0,15.0,277.0,41.0,35.0
45,45.0,226.0,201.0,160.0,41.0,10.0,281.0,44.0,37.0
46,46.0,233.0,191.0,173.0,39.0,14.0,267.0,45.0,38.0
47,47.0,220.0,200.0,165.0,34.0,15.0,277.0,50.0,39.0
48,48.0,221.0,185.0,165.0,36.0,15.0,285.0,54.0,39.0
49,49.0,220.0,173.0,168.0,36.0,12.0,293.0,59.0,39.0
50,50.0,216.0,184.0,156.0,37.0,11.0,294.0,63.0,39.0
51,51.0,229.0,186.0,156.0,34.0,12.0,276.0,66.0,41.0
52,52.0,236.0,183.0,162.0,33.0,12.0,263.0,68.0,43.0
53,53.0,221.0,185.0,149.0,28.0,14.0,289.0,71.0,43.0
54,54.0,236.0,186.0,145.0,32.0,13.0,274.0,71.0,43.0
55,55.0,221.0,191.0,157.0,28.0,12.0,273.0,74.0,44.0
56,56.0,224.0,182.0,154.0,22.0,14.0,281.0,79.0,44.0
57,57.0,220.0,181.0,151.0,19.0,17.0,285.0,81.0,46.0
58,58.0,239.0,168.0,148.0,15.0,12.0,287.0,83.0,48.0
59,59.0,227.0,186.0,133.0,14.0,12.0,293.0,85.0,50.0
60,60.0,246.0,158.0,148.0,20.0,9.0,278.0,90.0,51.0
61,61.0,253.0,163.0,132.0,18.0,10.0,280.0,92.0,52.0
62,62.0,252.0,167.0,123.0,16.0,8.0,288.0,94.0,52.0
63,63.0,261.0,181.0,127.0,14.0,8.0,263.0,94.0,52.0
64,64.0,266.0,166.0,129.0,16.0,10.0,264.0,95.0,54.0
65,65.0,268.0,166.0,128.0,12.0,12.0,261.0,97.0,56.0
66,66.0,275.0,161.0,120.0,13.0,8.0,265.0,100.0,58.0
67,67.0,293.0,155.0,109.0,16.0,4.0,261.0,103.0,59.0
68,68.0,281.0,165.0,118.0,17.0,2.0,252.0,105.0,60.0
69,69.0,285.0,159.0,141.0,17.0,3.0,229.0,106.0,60.0
70,70.0,267.0,168.0,140.0,20.0,3.0,233.0,106.0,63.0
71,71.0,245.0,173.0,146.0,18.0,4.0,238.0,108.0,68.0
